title,director,cast,country,date_added,release_year,listed_in,description,platform
pooh's heffalump movie,['frank nissen'],"['jim cummings', ' john fiedler', ' nikita hopkins', ' kath soucie', ' ken sansom', ' peter cullen']",['united states'],"november 12, 2019",2005,"['action-adventure', ' animation', ' kids']",pooh and his friends are shocked when roo befriends a playful heffalump.,disney_plus
presto,['doug sweetland'],[],['united states'],"november 12, 2019",2008,"['animation', ' family', ' kids']",presto forgets to feed his rabbit one too many times.,disney_plus
princess protection program,['allison liddi-brown'],"['demi lovato', ' selena gomez', ' nicholas braun', ' molly hagan', ' johnny rodriguez', ' jamie chung']",['united states'],"november 12, 2019",2009,"['buddy', ' comedy', ' coming of age']",royalty and roughing it collide when a princess moves in with a tomboy.,disney_plus
purl,['kristen lester'],"['bret parker', ' emily davis', ' kelsey mann', ' austin madison', ' erik langley', ' michael daley']",['united states'],"november 12, 2019",2019,"['animation', ' comedy', ' family']",purl gets a job at a start-up and must decide how far is she willing to go to be accepted.,disney_plus
quack pack,[],"['tony anselmo', ' james avery', ' brian cummings', ' e.g. daily', ' jeannie elias', ' pamela segall']",['united states'],"november 12, 2019",1996,"['action-adventure', ' animation', ' comedy']","this cartoon follows on from the 1980's cartoon ""ducktales"".",disney_plus
queen of katwe,['mira nair'],"['david oyelowo', "" lupita nyong'o"", ' madina nalwanga', ' martin kabanza', ' taryn kyaze', ' esther tebandeke']",['united states'],"november 12, 2019",2016,"['biographical', ' drama', ' sports']",a ugandan girl’s life changes forever when she discovers she has an amazing talent for chess.,disney_plus
quints,['bill corcoran'],"['kimberly brown', ' daniel roebuck', ' elizabeth morehead', ' shadia simmons', ' jake epstein', ' vince corazza']","['canada', ' united states']","november 12, 2019",2000,"['comedy', ' coming of age']",jamie is the center of attention until her mom gives birth to quintuplets.,disney_plus
ratatouille,['brad bird'],"['patton oswalt', ' ian holm', ' lou romano', ' brian dennehy', ' peter sohn', "" peter o'toole""]",['united states'],"november 12, 2019",2007,"['animation', ' comedy', ' family']",a determined young rat dreams of becoming a french chef.,disney_plus
read it and weep,['paul hoen'],"['kay panabaker', ' jason dolley', ' robin riker', ' tom virtue', ' alexandra krosney', ' danielle panabaker']",['united states'],"november 12, 2019",2006,"['comedy', ' coming of age', ' drama']",jamie's journal accidentally becomes a best-selling book.,disney_plus
ready to run,['duwayne dunham'],"['krissy perez', ' jason dohring', ' lillian hurst', ' jon brazier', ' nestor serrano', ' theresa saldana']","['united states', ' new zealand']","november 12, 2019",2000,"['animals & nature', ' coming of age', ' family']",corrie dreams of becoming a jockey despite her father's race-related death.,disney_plus
recess,"['howy parkins', ' chuck sheetz']","['rickey collins', ' jason davis', ' ashley johnson', ' myles jeffrey', ' andrew lawrence', ' ross malinger']",['united states'],"november 12, 2019",2003,"['animation', ' comedy', ' family']",t.j. and the gang are captured by the kindergartners.,disney_plus
recess,['chuck sheetz'],"['rickey collins', ' jason davis', ' ashely johnson', ' andy lawrence', ' courtland mead', ' pam segall']","['united states', ' japan']","november 12, 2019",2001,"['animation', ' comedy', ' family']",third street elementary students band together to save summer break.,disney_plus
recess,['howy parkins'],"['rickey collins', ' jason davis', ' myles jeffrey', ' ashley johnson', ' courtland mead', ' pamela adlon']",['united states'],"november 12, 2019",2003,"['animation', ' comedy', ' family']",the gang graduates to the fifth grade but discovers some unwelcome changes.,disney_plus
red's dream,['john lasseter'],[],['united states'],"november 12, 2019",1987,"['animation', ' drama', ' family']","red, a unicycle, dreams that he steals the show.",disney_plus
remember the titans,['boaz yakin'],"['denzel washington', ' will patton', ' donald faison', ' wood harris', ' ryan hurst', ' ethan suplee']",['united states'],"november 12, 2019",2000,"['drama', ' historical', ' sports']",an african-american coach leads a newly integrated high school football team in 1970s virginia.,disney_plus
rescue dog,['charles nichols'],[],['united states'],"november 12, 2019",1947,"['animation', ' comedy', ' family']",rescue dog pluto must deal with a playful seal pup. see details for advisory.,disney_plus
return from witch mountain,['john hough'],"['bette davis', ' christopher lee', ' kim richards', ' ike eisenmann', ' jack soo', ' anthony james']",['united states'],"november 12, 2019",1978,"['action-adventure', ' family', ' science fiction']",sinister masterminds manipulate a boy's supernatural powers for their own devious gain.,disney_plus
return to halloweentown,['david jackson'],"['sara paxton', ' judith hoag', ' lucas grabeel', ' j. zimmerman', ' kristy wu', ' keone young']",['united states'],"november 12, 2019",2006,"['family', ' fantasy']",marnie piper holds the key to witch university's ultimate secret.,disney_plus
return to oz,['walter murch'],"['nicol williamson', ' jean marsh', ' piper laurie', ' matt clark', ' fairuza balk', ' michael sundin']","['united kingdom', ' united states']","november 12, 2019",1985,"['action-adventure', ' family', ' fantasy']",dorothy battles the wicked princess mombi and the evil nome king to restore the emerald city.,disney_plus
richie rich's christmas wish,['john murlowski'],"['david gallagher', ' eugene levy', ' keene curtis', ' jake richardson', ' martin mull', ' lesley warren']",['united states'],"november 12, 2019",1998,"['action-adventure', ' comedy', ' family']",a wishing machine transports richie rich to an alternate universe.,disney_plus
right on track,['duwayne dunham'],"['beverley mitchell', ' brie larson', ' marcus toji', ' jodi russell', ' jon lindstrom', "" ruby o'neil""]",['united states'],"november 12, 2019",2003,"['buddy', ' family', ' sports']",two sisters fight for their place in male-dominated junior drag racing.,disney_plus
riley’s first date?,['josh cooley'],"['lori alan', ' carlos alazraqui', ' lewis black', ' josh cooley', ' ben cox', ' kaitlyn dias']",['united states'],"november 12, 2019",2015,"['animation', ' comedy', ' coming of age']",a boy shows up at riley's door.,disney_plus
rip girls,['joyce chopra'],"['camilla belle', ' dwier brown', ' stacie hess', ' brian stark', ' jeanne mori', ' lauren sinclair']","['australia', ' united states']","november 12, 2019",2000,"['coming of age', ' drama']",sydney questions a decision to sell her inherited hawaiian land.,disney_plus
robin hood,['wolfgang reitherman'],"['roger miller', ' peter ustinov', ' terry-thomas ', ' brian bedford', ' monica evans', ' phil harris']",['united states'],"november 12, 2019",1973,"['action-adventure', ' animation', ' family']",disney's animated classic tale of england's legendary hero.,disney_plus
rocky mountain animal rescue,[],['chopper bernet'],['united states'],"november 12, 2019",2018,"['animals & nature', ' docuseries', ' family']",officers and vets in the pike's peak area of colorado handle thousands of animal emergencies a year.,disney_plus
rogue one,['gareth edwards'],"['felicity jones', ' diego luna', ' ben mendelsohn', ' donnie yen', ' mads mikkelsen', ' alan tudyk']",['united states'],"november 12, 2019",2016,"['action-adventure', ' science fiction']",unlikely heroes band together to steal the plans to the death star.,disney_plus
roving mars,['george butler'],"['paul newman', ' steve squyres', ' rob manning', ' dr. elachi', ' wayne lee']",['united states'],"november 12, 2019",2006,"['documentary', ' family']",explore the surface of the red planet through the eyes of two nasa rovers.,disney_plus
ruby bridges,['euzhan palcy'],"['penelope miller', ' kevin pollak', ' michael beach', ' jean kelly', ' peter james', ' patrika darbo']",['united states'],"november 12, 2019",1998,"['biographical', ' drama', ' historical']",a little girl becomes the first african-american to integrate her school.,disney_plus
sacred planet,['jon long'],"['robert redford', ' arapata mckay', ' tsaan ciqae', ' mae tui', ' cy peck jr.', ' mutang urud']","['canada', ' malaysia', ' united states']","november 12, 2019",2004,"['animals & nature', ' documentary', ' family']",visit some of the most exotic and beautiful places still in existence.,disney_plus
saludos amigos,"['bill roberts', ' jack kinney', ' ham luske']",['fred shields'],['united states'],"november 12, 2019",1943,"['animation', ' comedy', ' family']",four animated shorts with donald duck and goofy are set to a samba beat. see details for advisory.,disney_plus
"sammy, the way",['norman tokar'],"['jack carson', ' robert culp', ' patricia barry', ' elisabeth fraser', ' michael mcgreevey', ' billy mummy']",['united states'],"november 12, 2019",1962,"['animals & nature', ' comedy', ' family']",two young brothers adopt an injured seal…without telling their parents. see details for advisory.,disney_plus
sanjay's super team,['sanjay patel'],"['brenton schraff', ' sunny attar', ' arun rao', ' jaquelynn herrera']",['united states'],"november 12, 2019",2015,"['action-adventure', ' animation', ' family']",young sanjay daydreams of hindu gods as superheroes.,disney_plus
santa paws 2,['robert vince'],"['cheryl ladd', ' george newbern', ' pat finn', ' danny woodburn', ' obba babatunde', ' paul rae']",['united states'],"november 12, 2019",2012,"['fantasy', ' musical']","when holiday spirit mysteriously begins to disappear, the santa pups race to save christmas.",disney_plus
santa's workshop,['wilfred jackson'],[],['united states'],"november 12, 2019",1932,"['animation', ' family', ' fantasy']",santa and his elves make toys to deliver on christmas eve see details for advisory.,disney_plus
saving mr. banks,['john hancock'],"['emma thompson', ' tom hanks', ' colin farrell', ' paul giamatti', ' jason schwartzman', ' bradley whitford']","['united states', ' united kingdom', ' australia']","november 12, 2019",2013,"['biographical', ' drama', ' historical']","discover the untold story behind walt disney's 20-year effort to bring ""mary poppins"" to life.",disney_plus
science fair,"['cristina costantini', ' darren foster']","['anjali chadha', ' ryan folz', ' harsha paladugu', ' abraham riedel-mishaan', ' kashfia rahman', ' ivo zell']",['united states'],"november 12, 2019",2018,"['documentary', ' family']",nine high school students compete at the international science and engineering fair.,disney_plus
sea of hope,['robert nixon'],['max kennedy'],['united states'],"november 12, 2019",2017,"['action-adventure', ' animals & nature', ' documentary']",oceanographer sylvia earle sets out to inspire the creation of 'blue parks' to protect the ocean.,disney_plus
secret of the wings,['peggy holmes'],"['mae whitman', ' lucy hale', ' timothy dalton', ' jeff bennett', ' lucy liu', ' raven-symoné']","['united states', ' india', ' united kingdom']","november 12, 2019",2012,"['animation', ' fantasy', ' kids']",tink crosses into the forbidden winter woods and finds she has a sister.,disney_plus
secretariat,['randall wallace'],"['diane lane', ' john malkovich', ' dylan walsh', ' james cromwell', ' kevin connolly', ' nelsan ellis']",['united states'],"november 12, 2019",2010,"['animals & nature', ' biographical', ' drama']","a housewife becomes the unlikely owner of a racehorse, then risks it all to make him a champion.",disney_plus
secrets of christ's tomb,['bob strange'],[],['united states'],"november 12, 2019",2017,"['documentary', ' historical']",a team of experts races to repair the structure housing christ’s tomb.,disney_plus
secrets of life,['james algar'],['winston hibler'],['united states'],"november 12, 2019",1956,"['animals & nature', ' documentary', ' family']",discover mother nature’s secrets with a look at our ever-evolving planet.,disney_plus
secrets of the king cobra,[],['andre braugher'],['india'],"november 12, 2019",2012,"['animals & nature', ' documentary']",a new scientific expedition follows the king cobra into the wild for the first time.,disney_plus
shake it up,[],"['bella thorne', ' zendaya ', ' davis cleveland', ' roshon fegan', ' adam irigoyen', ' kenton duty']",['united states'],"november 12, 2019",2010,"['buddy', ' comedy', ' coming of age']",best friends attend high school and dance professionally.,disney_plus
sharks of lost island,[],['chris mclinden'],['united states'],"november 12, 2019",2013,"['action-adventure', ' animals & nature', ' documentary']",a team of explorers sets out to explore the sea and land of the remote pitcairn islands.,disney_plus
sharpay's fabulous adventure,['michael lembeck'],"['ashley tisdale', ' austin butler', ' cameron goodman', ' bradley perry', ' alec mapa', ' jack plotnick']",['united states'],"november 12, 2019",2011,"['comedy', ' coming of age', ' music']",aspiring diva sharpay leaves suburbia and hits broadway…and hits it hard.,disney_plus
shipwrecked,['nils gaup'],"['stian smestad', ' trond peter munch', ' louisa haigh', ' gabriel byrne', ' bjørn sundquist', ' eva von hanno']","['norway', ' sweden', ' united states']","november 12, 2019",1991,"['action-adventure', ' coming of age', ' family']",a cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,disney_plus
silver surfer,[],"['paul essiembre', ' james blendick', ' robert bockstael', ' jennifer daley', ' colin fox']","['united states', ' canada']","november 12, 2019",1997,"['action-adventure', ' animation', ' kids']",the adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,disney_plus
simpsons movie,['david silverman'],"['dan castellaneta', ' julie kavner', ' nancy cartwright', ' yeardley smith', ' harry shearer', ' hank azaria']",['united states'],"november 12, 2019",2007,"['action-adventure', ' animation', ' comedy']",homer must save the world from a catastrophe he himself created.,disney_plus
sister act,['emile ardolino'],"['whoopi goldberg', ' maggie smith', ' harvey keitel', ' bill nunn', ' mary wickes', ' kathy najimy']",['united states'],"november 12, 2019",1992,"['comedy', ' crime', ' family']",a low-rent lounge singer is forced to hide out from the mob in a convent.,disney_plus
sister act 2,['bill duke'],"['whoopi goldberg', ' kathy najimy', ' barnard hughes', ' mary wickes', ' james coburn', ' michael jeter']",['united states'],"november 12, 2019",1993,"['comedy', ' family', ' music']",deloris goes back undercover to try to save a troubled inner-city school.,disney_plus
skyrunners,['ralph hemecker'],"['kelly blatz', ' joey pollari', ' conrad coates', ' jacqueline wood', ' nathan stephenson', ' kerry laifatt']",['united states'],"november 12, 2019",2009,"['action-adventure', ' science fiction']",teen brothers discover a ufo near their town…and learn of an alien plot.,disney_plus
sleeping beauty,['clyde geronimi'],"['mary costa', ' eleanor audley', ' barbara luddy', ' taylor holmes', ' bill shirley', ' verna felton']",['united states'],"november 12, 2019",1959,"['animation', ' family', ' fantasy']",a fairy-tale classic about a princess saved by true love's kiss.,disney_plus
smart house,['levar burton'],"['ryan merriman', ' kevin kilner', ' jessica steen', ' katie volding', ' katey sagal', ' emilio borelli']",['united states'],"november 12, 2019",1999,"['comedy', ' coming of age', ' drama']",a computerized smart house becomes an overly possessive virtual mother.,disney_plus
smash and grab,['brian larsen'],[],['united states'],"november 12, 2019",2019,"['animation', ' buddy', ' family']",two antiquated robots risk everything for freedom and for each other.,disney_plus
snow white and the seven dwarfs,['david hand'],"['adriana caselotti', ' harry stockwell', ' lucille laverne', ' moroni olsen', ' billy gilbert', ' pinto colvig']",['united states'],"november 12, 2019",1937,"['animation', ' family', ' fantasy']",discover the movie called “the greatest animated film of all time”!,disney_plus
snowball express,['norman tokar'],"['dean jones', ' nancy olson', ' harry morgan', ' keenan wynn', ' johnny whitaker', ' michael mcgreevy']",['united states'],"november 12, 2019",1972,"['comedy', ' family', ' sports']",a new york accountant moves west when he inherits a dilapidated ski resort.,disney_plus
snowglobe,['ron lagomarsino'],"['christina milian', ' erin karpluk', ' hilda doherty', ' jason schombing', ' james kot', ' andrew krivanek']",['united states'],"november 12, 2019",2007,"['comedy', ' family', ' fantasy']",angela finds a snow globe that transports her into a christmas wonderland.,disney_plus
so weird,[],"['cara delizia', ' patrick levis', ' erik von detten', ' belinda metz', ' dave ward', ' mackenzie phillips']",['canada'],"november 12, 2019",1999,"['fantasy', ' kids', ' mystery']",a teenage girl travels the country on a rock tour while investigating the supernatural.,disney_plus
society dog show,['bill roberts'],"['pinto colvig', ' walt disney']",['united states'],"november 12, 2019",1939,"['animation', ' comedy', ' family']","pluto is out of place at a dog show, but he proves to be a hero. see details for advisory.",disney_plus
spider,[],[],[],"november 12, 2019",2016,"['action-adventure', ' animation', ' kids']",peter uses science to investigate his spider bite.,disney_plus
spider,[],"['hans conried', ' jerry dexter', ' george dicenzo', ' alan dinehart', ' walker edminston', ' michael evans']",['united states'],"november 12, 2019",1982,"['action-adventure', ' animation', ' kids']",spider-man battles crime in new york city with the help of iceman and firestar.,disney_plus
spider,[],"['rino romano', ' kathleen barr', ' jim byrnes', ' garry chalk', ' paul dobson']","['united states', ' canada']","november 12, 2019",1999,"['action-adventure', ' animation', ' kids']",strap in to your seats and experience spider-man unlimited!,disney_plus
spider,[],"['joan ark', ' bruce miller', ' bryan scott', ' lou krugman', ' dick tufeld']",['united states'],"november 12, 2019",1979,"['action-adventure', ' animation', ' kids']",jessica drew has superhuman powers. she uses them as spider-woman.,disney_plus
star wars forces of destiny (shorts),[],"['ashley eckstein', ' matt lanter', ' c1-10p a.k.a. ""chopper"" ', ' john boyega', ' vanessa marshall', ' felicity jones']",['united states'],"november 12, 2019",2016,"['action-adventure', ' animation', ' anthology']",untold stories from the heroines of star wars.,disney_plus
star wars rebels,[],"['taylor gray', ' vanessa marshall', ' freddie prinze jr.', ' tiya sircar', ' steve blum', ' c1-10p a.k.a. ""chopper""']",['united states'],"november 12, 2019",2014,"['action-adventure', ' animation', ' kids']",the ghost crew provides a spark to ignite a rebellion.,disney_plus
star wars rebels (shorts),[],[],[],"november 12, 2019",2014,"['action-adventure', ' animation', ' kids']",it is a dark time in the galaxy as the empire continues to tighten its grip.,disney_plus
star wars,['george lucas'],"['mark hamill', ' harrison ford', ' carrie fisher', ' peter cushing', ' alec guinness', ' anthony daniels']",['united states'],"november 12, 2019",1977,"['action-adventure', ' science fiction']",a young farm boy intercepts a distress call from the captive princess leia.,disney_plus
star wars,['george lucas'],"['ewan mcgregor', ' natalie portman', ' hayden christensen', ' frank oz', ' ian mcdiarmid', ' pernilla august']",['united states'],"november 12, 2019",2002,"['action-adventure', ' science fiction']",young anakin and padmé fall in love as galactic war looms.,disney_plus
star wars,[],[],['united states'],"november 12, 2019",2019,['series'],what does a curious little droid do when he's not on a daring mission to save the galaxy?,disney_plus
star wars,['richard marquand'],"['mark hamill', ' harrison ford', ' carrie fisher', ' billy williams', ' anthony daniels', ' peter mayhew']",['united states'],"november 12, 2019",1983,"['action-adventure', ' science fiction']",luke skywalker faces darth vader in a final duel.,disney_plus
star wars,['george lucas'],"['ewan mcgregor', ' natalie portman', ' hayden christensen', ' ian mcdiarmid', ' frank oz', ' jimmy smits']",['united states'],"november 12, 2019",2005,"['action-adventure', ' science fiction']","as the republic falls, anakin skywalker becomes the evil darth vader.",disney_plus
star wars,['irvin kershner'],"['mark hamill', ' harrison ford', ' carrie fisher', ' billy williams', ' anthony daniels', ' david prowse']",['united states'],"november 12, 2019",1980,"['action-adventure', ' science fiction']",luke skywalker trains as a jedi and confronts darth vader.,disney_plus
star wars,['j.j. abrams'],"['harrison ford', ' mark hamill', ' carrie fisher', ' adam driver', ' daisy ridley', ' john boyega']",['united states'],"november 12, 2019",2015,"['action-adventure', ' science fiction']","rey, finn, han and chewbacca search for the one hope of restoring peace.",disney_plus
star wars,['george lucas'],"['liam neeson', ' ewan mcgregor', ' natalie portman', ' jake lloyd', ' pernilla august', ' frank oz']",['united states'],"november 12, 2019",1999,"['action-adventure', ' science fiction']","jedi discover anakin skywalker, a boy unusually strong in the force.",disney_plus
starstruck,['michael grossman'],"['sterling knight', ' danielle campbell', ' maggie castle', ' brandon smith', ' chelsea staub', ' beth littleford']",['united states'],"november 12, 2019",2010,"['comedy', ' coming of age', ' music']",pop star christopher wilde must choose to follow his heart or embrace fame.,disney_plus
steamboat willie,"['walt disney', ' ub iwerks']",['walt disney'],['united states'],"november 12, 2019",1928,"['animation', ' family', ' kids']",watch mickey mouse's classic cartoon debut. see details for advisory.,disney_plus
stepsister from planet weird,['steve boyum'],"['courtnee draper', ' tamara hope', ' lance guest', ' khrystyne haje', ' vanessa chester', ' myles jeffrey']",['united states'],"november 12, 2019",2000,"['comedy', ' family', ' science fiction']",a human and an alien team up to stop their parents from getting married.,disney_plus
stitch! the movie,"['tony craig', ' bobs gannaway']","['daveigh chase', ' chris sanders', ' tia carrere', ' david stiers', ' kevin mcdonald', ' ving rhames']",['united states'],"november 12, 2019",2003,"['animation', ' comedy', ' family']","stitch tries to save his intergalactic ""cousins"" from evil captain gantu.",disney_plus
stonehenge decoded,['christopher spencer'],['craig sechler'],['united kingdom'],"november 12, 2019",2008,['documentary'],the discovery of a prehistoric site in ireland sheds new light on the mysteries of stonehenge,disney_plus
stuck in the suburbs,['savage holland'],"['danielle panabaker', ' brenda song', ' amanda shaw', ' cici hedgepeth', ' jennie garland', ' ryan belleville']",['united states'],"november 12, 2019",2004,"['comedy', ' coming of age', ' music']",a bored suburban teen accidentally switches phones with a pop star.,disney_plus
sultan and the rock star,['ed abroms'],"['timothy hutton', ' ken swofford', ' bruce glover', ' ned romero', ' richard paul', ' pat delany']",['united states'],"november 12, 2019",1980,"['action-adventure', ' animals & nature', ' family']",a rock star befriends a gentle tiger being hunted for sport. see details for advisory.,disney_plus
super buddies,['robert vince'],"['jeremy shinder', ' tenzing trainor', ' ty panitz', ' g. hannelius', ' cooper roth', ' colin hanks']",['united states'],"november 12, 2019",2013,"['action-adventure', ' comedy', ' family']",a new breed of hero is born when disney's favorite extraordinary pups become super buddies!,disney_plus
swiss family robinson,['edward ludwig'],"['thomas mitchell', ' edna best', ' freddie bartholomew', ' terry kilburn', ' tim holt', ' baby quillan']",['united states'],"november 12, 2019",1940,"['action-adventure', ' family', ' survival']",a violent storm shipwrecks the robinson family on a deserted island. see details for advisory.,disney_plus
talespin,[],"['charlie adler', ' jim cummings', ' ed gilbert', ' chuck mccann', ' alan roberts', ' sally struthers']",['united states'],"november 12, 2019",1990,"['action-adventure', ' animation', ' kids']","follow baloo, his 12-year old navigator kit, the boss rebecca cunningham, and the rest of the crew.",disney_plus
tall tale,['jeremiah chechik'],"['scott glenn', ' oliver platt', ' nick stahl', ' stephen lang', ' roger brown', ' jared harris']",['united states'],"november 12, 2019",1995,"['action-adventure', ' western']",it's all up to pecos bill to save a boy's family farm in this rousing western adventure.,disney_plus
tangled,"['nathan greno', ' byron howard']","['mandy moore', ' zachary levi', ' donna murphy', ' ron perlman', ' m.c. gainey', ' jeffrey tambor']",['united states'],"november 12, 2019",2010,"['action-adventure', ' animation', ' family']","rapunzel and flynn set off on a hilarious, hair-raising escapade.",disney_plus
tangled before ever after,"['tom caulfield', ' stephen sandoval']","['zachary levi', ' mandy moore', ' eden espinosa', ' clancy brown', ' julie bowen', ' laura benanti']",['united states'],"november 12, 2019",2017,"['animation', ' coming of age', ' fantasy']",rapunzel escapes for a night of freedom before her coronation.,disney_plus
tarzan & jane,['steve loter'],"['michael weiss', "" olivia d'abo"", ' rene auberjonois', ' jeff bennett', ' jim cummings', ' grey delisle']",['united states'],"november 12, 2019",2002,"['action-adventure', ' animation']",tarzan and jane celebrate their first year in the jungle.,disney_plus
teacher's pet,['timothy björklund'],"['nathan lane', ' kelsey grammer', ' shaun fleming', ' debra rupp', ' david stiers', ' jerry stiller']",['united states'],"november 12, 2019",2004,"['animation', ' comedy', ' family']",a dog discovers that his dream of becoming a real boy isn't so far-fetched.,disney_plus
teen beach 2,['jeffrey hornaday'],"['ross lynch', ' maia mitchell', ' grace phipps', ' garrett clayton', ' john deluca', ' chrissie fit']",['united states'],"november 12, 2019",2015,"['fantasy', ' musical']",mack and brady get a real-world visit from their retro movie compadres.,disney_plus
teen beach movie,['jeffrey hornaday'],"['ross lynch', ' maia mitchell', ' grace phipps', ' garrett clayton', ' john deluca', ' chrissie fit']",['united states'],"november 12, 2019",2013,"['coming of age', ' fantasy', ' musical']",mckenzie and her boyfriend brady catch a wave into a retro coastal musical.,disney_plus
teen spirit,['gil junger'],"['cassie scerbo', ' lindsey shaw', ' chris zylka', ' tim gunn', ' carissa capobianco', ' gabriela lopez']",['united states'],"november 12, 2019",2011,"['buddy', ' comedy', ' coming of age']","to save her soul, amber must pull off a high-school miracle.",disney_plus
that darn cat,['bob spiers'],"['christina ricci', ' doug doug', ' george dzundza', ' peter boyle', ' michael mckean', ' bess armstrong']",['united states'],"november 12, 2019",1997,"['animals & nature', ' comedy', ' family']","a teen, a cat and a rookie fbi agent team up to solve a kidnapping.",disney_plus
that darn cat!,['robert stevenson'],"['hayley mills', ' dean jones', ' dorothy provine', ' roddy mcdowall', ' neville brand', ' elsa lanchester']",['united states'],"november 12, 2019",1965,"['animals & nature', ' comedy', ' family']",a cat holds the clue to bank robbers holding a teller hostage.,disney_plus
the absent,['robert stevenson'],"['fred macmurray', ' nancy olson', ' keenan wynn', ' tommy kirk', ' leon ames', ' elliott reid']",['united states'],"november 12, 2019",1961,"['comedy', ' family', ' science fiction']",a bumbling professor invents gravity-defying flubber.,disney_plus
the adventures of andré & wally b.,['alvy smith'],[],['united states'],"november 12, 2019",1984,"['animation', ' kids']",andre awakens from a nap and is greeted by a pesky bee.,disney_plus
the adventures of bullwhip griffin,['james neilson'],"['roddy mcdowall', ' suzanne pleshette', ' karl malden', ' harry guardino', ' richard haydn', ' hermione baddeley']",['united states'],"november 12, 2019",1967,"['action-adventure', ' comedy', ' family']",a boy joins the california gold rush with his trusty butler on his tail. see details for advisory.,disney_plus
the adventures of huck finn,['stephen sommers'],"['elijah wood', ' courtney vance', ' robbie coltrane', ' jason robards', ' ron perlman', ' dana ivey']",['united states'],"november 12, 2019",1993,"['action-adventure', ' coming of age', ' drama']",huck and a runaway slave brave the mississippi river in search of freedom.,disney_plus
the adventures of ichabod and mr. toad,"['jack kinney', ' clyde geronimi', ' james algar']","['bing crosby', ' basil rathbone', ' eric blore', "" pat o'malley"", ' john ployardt', ' colin campbell']",['united states'],"november 12, 2019",1949,"['action-adventure', ' animation', ' anthology']",enjoy two classic stories with toad's wild ride and the headless horseman.,disney_plus
the adventures of spin and marty,[],"['david stollery', ' tim considine']",['united states'],"november 12, 2019",1955,"['buddy', ' coming of age', ' family']",spin and marty have adventures during the summer at triple r ranch. see details for advisory.,disney_plus
the african lion,['james algar'],['winston hibler'],['united states'],"november 12, 2019",1955,"['animals & nature', ' documentary', ' family']",two wildlife experts spend years studying the majestic african lion.,disney_plus
the apple dumpling gang,['norman tokar'],"['bill bixby', ' susan clark', ' don knotts', ' tim conway', ' david wayne', ' slim pickens']",['united states'],"november 12, 2019",1975,"['comedy', ' family', ' western']",bumbling outlaws help three young orphans protect their huge gold nugget. see details for advisory.,disney_plus
the apple dumpling gang rides again,['vincent mceveety'],"['tim conway', ' don knotts', ' tim matheson', ' kenneth mars', ' elyssa davalos', ' jack elam']",['united states'],"november 12, 2019",1979,"['comedy', ' family', ' western']",two bumbling outlaw wannabes just can't succeed in going straight. see details for advisory.,disney_plus
the aristocats,['wolfgang reitherman'],"['phil harris', ' eva gabor', ' sterling holloway', ' scatman crothers', ' paul winchell', ' lord tim hudson']",['united states'],"november 12, 2019",1970,"['action-adventure', ' animation', ' comedy']",a pedigreed cat and her kittens are catnapped by a greedy butler. see details for advisory.,disney_plus
the art of skiing,['jack kinney'],['john mcleish'],['united states'],"november 12, 2019",1941,"['animation', ' comedy', ' family']",goofy demonstrates the art of skiing. see details for advisory.,disney_plus
the avengers,[],"['eric loomis', ' bumper robinson', ' dawn olivera', ' phil lamarr', ' alex desert', ' kari wuhrer']",['united states'],"november 12, 2019",2010,"['action-adventure', ' animation', ' kids']",chaos sweeps over the planet as the super villain prison system breaks down.,disney_plus
the avengers,[],"['martin roach', ' rod wilson', ' lenore zann', ' ron rubin', ' hamish mcewan', ' lynda ballantyne']","['france', ' canada', ' united states']","november 12, 2019",1999,"['action-adventure', ' animation', ' kids']","set in a vibrant, high-tech future, the series focuses on the mightiest superheroes in the universe.",disney_plus
the band concert,"['wilfred jackson', ' walt disney']",['clarence nash'],['united states'],"november 12, 2019",1935,"['animation', ' family', ' kids']",mickey's concert in the park is disrupted by donald and a cyclone. see details for advisory.,disney_plus
the bears and i,['bernard mceveety'],"['patrick wayne', ' chief george', ' andrew duggan', ' michael ansara', ' robert pine', ' val devargas']",['united states'],"november 12, 2019",1974,"['animals & nature', ' drama', ' family']",a man seeking peace and quiet becomes a father to three mischievous bears. see details for advisory.,disney_plus
the big bad wolf,['burt gillett'],[],['united states'],"november 12, 2019",1934,"['animation', ' family', ' musical']",red riding hood travels to visit her sick grandmother. see details for advisory.,disney_plus
the biscuit eater,['vincent mceveety'],"['earl holliman', ' patricia crowley', ' lew ayres', ' godfrey cambridge', ' beah richards', ' clifton james']",['united states'],"november 12, 2019",1972,"['animals & nature', ' drama', ' family']",two young boys try to transform a misfit hound into a champion bird dog. see details for advisory.,disney_plus
the black cauldron,"['ted berman', ' richard rich']","['grant bardsley', ' susan sheridan', ' freddie jones', ' nigel hawthorne', ' arthur malet', ' john byner']","['united states', ' united kingdom']","november 12, 2019",1985,"['action-adventure', ' animation', ' coming of age']",a young pig keeper becomes an unlikely hero when he confronts an evil king.,disney_plus
the black hole,['gary nelson'],"['maximilian schell', ' anthony perkins', ' robert forster', ' joseph bottoms', ' yvette mimieux', ' ernest borgnine']",['united states'],"november 12, 2019",1979,"['action-adventure', ' science fiction', ' thriller']",take a spectacular descent into nature's ultimate mystery: the black hole.,disney_plus
