title,director,cast,country,date_added,release_year,listed_in,description,platform
descendants,['salvador simó'],"['dove cameron', ' sofia carson', ' booboo stewart', ' mitchell hope', ' sarah jeffery', ' melanie paxson']",[],"september 17, 2021",2021,"['animation', ' fantasy', ' musical']",mal and ben’s wedding is finally here!,disney_plus
disney's broadway hits at london's royal albert hall,['jay hatcher'],"['john barrowman', ' ashley brown', ' merle dandridge', ' trevor dion nicholas', ' jade ewen', ' alton fitzgerald white']",[],"september 17, 2021",2016,"['concert film', ' music']",experience the magic of disney on broadway in an unforgettable night of music.,disney_plus
flooded tombs of the nile,['katie bauer murdock'],['devin e. haqq'],[],"september 17, 2021",2021,['documentary'],archaeologists dive into a pyramid flooded by the nile to search for a king’s burial.,disney_plus
jade eyed leopard,[],['jeremy irons'],[],"september 17, 2021",2020,"['animals & nature', ' documentary']","jade eyed leopard follows a leopard, toto, throughout the first three years of her life.",disney_plus
nona,['louis gonzales'],[],[],"september 17, 2021",2021,"['animation', ' comedy', ' family']",a grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.,disney_plus
smoky mountain park rangers,[],['peter jessop'],[],"september 17, 2021",2021,"['animals & nature', ' documentary']",park rangers protect the wildlife in great smoky mountain national park.,disney_plus
life below zero,[],"['chip hailstone', ' agnes hailstone', ' sue aikens', ' andy bassich']",['united states'],"september 15, 2021",2012,"['action-adventure', ' animals & nature', ' docuseries']","experience life deep in alaska where the primal way lives on – brave the wild, fight the freeze.",disney_plus
miraculous,[],"['cristina vee', ' bryce papenbrook', ' keith silverstein', ' mela lee', ' max mittelman', ' carrie keranen']","['france', ' south korea', ' japan', ' united states']","september 15, 2021",2015,"['action-adventure', ' animation', ' fantasy']",superheroes ladybug and cat noir protect the city.,disney_plus
unknown waters with jeremy wade,[],['jeremy wade'],[],"september 15, 2021",2021,"['animals & nature', ' docuseries']","angler and adventurer, jeremy wade, explores the greatest river system in the world.",disney_plus
far away from raven’s home,[],"['raven-symoné', ' issac ryan brown', ' navia robinson', ' jason maybaum', ' sky katz', ' anneliese van der pol']",[],"september 10, 2021",2021,['comedy'],our gang is off for an exotic vacation of a lifetime!,disney_plus
pirates of the caribbean,['rob marshall'],"['johnny depp', ' penélope cruz', ' ian mcshane', ' geoffrey rush', ' kevin r. mcnally', ' sam claflin']","['united states', ' united kingdom']","september 10, 2021",2011,"['action-adventure', ' fantasy']",a woman from his past uses jack to help find the fabled fountain of youth.,disney_plus
twenty something,['aphton corbin'],"['kaylin price', ' ariana brown', ' aliyah taylor', ' janelle lasalle', ' napoleon highbrou']",['united states'],"september 10, 2021",2021,"['animation', ' family']","adulting is hard. one day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.",disney_plus
"doogie kamealoha, m.d.",[],"['peyton elizabeth lee', ' emma meisel', ' matthew sato', ' wes tian', ' jeffrey bowyer-chapman', ' mapuana makia']",['united states'],"september 8, 2021",2021,"['comedy', ' coming of age', ' family']",a 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.,disney_plus
"mira, royal detective",[],"['leela ladnier', ' utkarsh ambudkar', ' roshni edwards', ' kal penn', ' kamran lucas']",['united states'],"september 8, 2021",2020,"['animation', ' fantasy', ' kids']",mira is the new royal detective in the land of jalpur!,disney_plus
pepper ann,[],"['kathleen wilhoite', ' clea lewis', ' danny cooksey', ' pamela segall', ' april winchell', ' don adams']",['united states'],"september 8, 2021",1997,"['animation', ' comedy', ' coming of age']",pepper ann pearson is a teenage girl on an eternal quest for coolness.,disney_plus
the incredible dr. pol,[],"['rick robles', ' dr. pol']",['united states'],"september 8, 2021",2011,"['animals & nature', ' docuseries', ' family']",dr. pol and his team handle challenging veterinary cases and animal emergencies in central michigan.,disney_plus
happier than ever,"['robert rodriguez', ' patrick osborne']","['billie eilish', ' finneas']",['united states'],"september 3, 2021",2021,"['concert film', ' music']","billie eilish makes her disney+ debut with ""happier than ever: a love letter to los angeles.""",disney_plus
x,['simon kinberg'],"['james mcavoy', ' michael fassbender', ' jennifer lawrence', ' nicholas hoult', ' sophie turner', ' tye sheridan']","['united states', ' canada']","september 3, 2021",2019,"['action-adventure', ' family', ' science fiction']","when jean grey transforms into the dark phoenix, the x-men unite to face their greatest enemy yet.",disney_plus
alaska animal rescue,[],['victoria vosburg'],['united states'],"september 1, 2021",2019,"['animals & nature', ' docuseries', ' family']",conservation heroes rescue and rehabilitate the wild animals of america’s last frontier.,disney_plus
dug days,[],"['bob peterson', ' ed asner', ' jordan nagai']",['united states'],"september 1, 2021",2021,"['animation', ' comedy', ' family']","“dug days” is a collection of shorts that follows the adventures of dug, the dog from pixar’s “up.”",disney_plus
cruella,['craig gillespie'],"['emma stone', ' emma thompson', ' joel fry', ' paul walter hauser', ' emily beecham', ' kirby howell-baptiste']","['united states', ' united kingdom']","august 27, 2021",2021,"['crime', ' drama']","witness the origin of disney’s most notorious and notoriously fashionable villain, cruella de vil.",disney_plus
dan in real life,['peter hedges'],"['steve carell', ' juliette binoche', ' dane cook', ' john mahoney', ' emily blunt', ' alison pill']",['united states'],"august 27, 2021",2007,"['comedy', ' drama', ' romance']",a relationship expert falls in love with his brother's new girlfriend.,disney_plus
disney princess remixed,['napoleon dumo'],"['txunamy oriz', ' natalie peyser', ' dara reneé', ' frankie rodriguez', ' julia lester', ' ruth righi']",[],"august 27, 2021",2021,"['family', ' music', ' variety']",celebrate the timeless music of disney princess!,disney_plus
marvel one,['drew pearce'],"['ben kingsley', ' scoot mcnairy', ' lester speight', ' sam rockwell', ' matt gerald', ' allen maldonado']",['united states'],"august 27, 2021",2014,"['comedy', ' drama', ' thriller']","locked up in prison, infamous icon trevor slattery agrees to meet with a documentary filmmaker.",disney_plus
